0,1,2,3,4,5
10886.0,4671.0,4689.0,712.0,1745636142.879493,0.0
10886.0,4662.0,4690.0,706.0,1745636142.8794935,0.0
10903.0,4663.0,4688.0,705.0,1745636142.9794753,0.0
10903.0,4670.0,4678.0,704.0,1745636142.9794757,0.0
10903.0,4659.0,4716.0,696.0,1745636142.9794762,0.0
10919.0,4662.0,4696.0,694.0,1745636143.080793,0.0
10919.0,4672.0,4697.0,707.0,1745636143.0807931,0.0
10935.0,4653.0,4682.0,702.0,1745636143.1844428,0.0
10935.0,4669.0,4680.0,700.0,1745636143.1844432,0.0
10935.0,4672.0,4704.0,690.0,1745636143.1844437,0.0
10951.0,4671.0,4701.0,703.0,1745636143.2855058,0.0
10951.0,4659.0,4684.0,695.0,1745636143.2855062,0.0
10968.0,4668.0,4703.0,692.0,1745636143.3892813,0.0
10968.0,4663.0,4692.0,698.0,1745636143.3892815,0.0
10968.0,4663.0,4700.0,707.0,1745636143.3892817,0.0
10985.0,4667.0,4701.0,687.0,1745636143.4922953,0.0
10985.0,4672.0,4700.0,684.0,1745636143.4922955,0.0
11001.0,4672.0,4706.0,697.0,1745636143.588692,0.0
11001.0,4673.0,4696.0,703.0,1745636143.5886924,0.0
11001.0,4669.0,4706.0,707.0,1745636143.588693,0.0
11016.0,4661.0,4690.0,699.0,1745636143.6902924,0.0
11016.0,4648.0,4704.0,699.0,1745636143.6902928,0.0
11034.0,4663.0,4703.0,701.0,1745636143.7914608,0.0
11034.0,4676.0,4691.0,711.0,1745636143.7914612,0.0
11034.0,4689.0,4691.0,698.0,1745636143.7914617,0.0
11050.0,4679.0,4705.0,698.0,1745636143.8982708,0.0
11050.0,4672.0,4691.0,707.0,1745636143.898271,0.0
11066.0,4660.0,4690.0,700.0,1745636143.9934008,0.0
11066.0,4671.0,4693.0,702.0,1745636143.9934013,0.0
11066.0,4671.0,4707.0,690.0,1745636143.9934015,0.0
11082.0,4655.0,4702.0,706.0,1745636144.0990138,0.0
11082.0,4666.0,4711.0,707.0,1745636144.0990143,0.0
11082.0,4673.0,4695.0,687.0,1745636144.0990145,0.0
11099.0,4668.0,4688.0,708.0,1745636144.1940331,0.0
11099.0,4667.0,4694.0,704.0,1745636144.1940336,0.0
11115.0,4662.0,4699.0,695.0,1745636144.3057764,0.0
11115.0,4672.0,4685.0,688.0,1745636144.3057766,0.0
11115.0,4668.0,4706.0,695.0,1745636144.305777,0.0
11132.0,4667.0,4699.0,702.0,1745636144.395546,0.0
11132.0,4672.0,4707.0,702.0,1745636144.3955464,0.0
11149.0,4669.0,4696.0,707.0,1745636144.5007904,0.0
