0,1,2,3,4,5,6,7,8,9,10,11
10622.0,-0.101,0.291,0.97,0.885,-0.916,0.183,47.0,-10.0,39.0,1745636141.1533237,0.0
10622.0,-0.103,0.293,0.969,0.824,0.244,-0.183,47.0,-10.0,39.0,1745636141.153324,0.0
10638.0,-0.099,0.292,0.964,0.885,-0.549,0.061,47.0,-9.0,38.0,1745636141.259271,0.0
10638.0,-0.101,0.29,0.964,0.854,-0.916,0.244,48.0,-9.0,39.0,1745636141.2592714,0.0
10638.0,-0.101,0.292,0.966,0.793,-0.153,-0.031,47.0,-9.0,38.0,1745636141.2592716,0.0
10654.0,-0.098,0.295,0.97,0.854,-0.305,-0.031,48.0,-9.0,38.0,1745636141.3618734,0.0
10654.0,-0.1,0.296,0.969,0.854,-0.702,0.122,48.0,-8.0,39.0,1745636141.3618743,0.0
10670.0,-0.099,0.292,0.966,0.824,-0.488,0.061,48.0,-7.0,39.0,1745636141.461186,0.0
10670.0,-0.101,0.292,0.967,0.854,-0.244,0.0,47.0,-9.0,38.0,1745636141.4611864,0.0
10670.0,-0.099,0.293,0.965,0.824,-0.549,0.031,48.0,-9.0,38.0,1745636141.4611866,0.0
10687.0,-0.1,0.295,0.967,0.885,-0.641,0.122,47.0,-8.0,39.0,1745636141.5616243,0.0
10687.0,-0.103,0.296,0.976,0.885,-0.122,-0.061,47.0,-8.0,38.0,1745636141.5616248,0.0
10703.0,-0.098,0.292,0.973,0.885,-0.641,0.092,47.0,-8.0,39.0,1745636141.6636584,0.0
10703.0,-0.101,0.292,0.965,0.854,-0.641,0.183,47.0,-10.0,39.0,1745636141.6636589,0.0
10703.0,-0.101,0.293,0.968,0.854,0.0,0.0,47.0,-9.0,39.0,1745636141.663659,0.0
10721.0,-0.099,0.289,0.963,0.854,-0.671,0.122,48.0,-8.0,39.0,1745636141.7753382,0.0
10721.0,-0.101,0.293,0.972,0.885,-0.61,0.092,47.0,-9.0,38.0,1745636141.7753386,0.0
10721.0,-0.101,0.296,0.981,0.854,-0.153,-0.031,47.0,-9.0,37.0,1745636141.775339,0.0
10735.0,-0.098,0.293,0.972,0.916,-0.58,0.122,47.0,-9.0,38.0,1745636141.8612535,0.0
10735.0,-0.101,0.292,0.965,0.824,-0.58,0.092,47.0,-9.0,38.0,1745636141.861254,0.0
10752.0,-0.101,0.291,0.961,0.854,-0.244,0.0,48.0,-10.0,37.0,1745636141.966884,0.0
10752.0,-0.101,0.29,0.963,0.885,-0.549,0.092,47.0,-9.0,38.0,1745636141.9668841,0.0
10752.0,-0.101,0.293,0.971,0.793,-0.458,0.092,48.0,-10.0,39.0,1745636141.9668844,0.0
10768.0,-0.1,0.295,0.976,0.885,-0.366,0.031,47.0,-10.0,39.0,1745636142.0726657,0.0
10768.0,-0.1,0.294,0.974,0.885,-0.397,0.092,48.0,-8.0,39.0,1745636142.0726662,0.0
10768.0,-0.101,0.293,0.967,0.824,-0.458,0.122,47.0,-9.0,39.0,1745636142.0726664,0.0
10786.0,-0.1,0.292,0.967,0.885,-0.702,0.153,47.0,-9.0,38.0,1745636142.172217,0.0
10786.0,-0.101,0.291,0.965,0.854,-0.183,-0.061,48.0,-11.0,38.0,1745636142.1722171,0.0
10800.0,-0.101,0.289,0.969,0.854,-0.458,0.031,48.0,-8.0,37.0,1745636142.274376,0.0
10800.0,-0.102,0.293,0.973,0.885,-0.763,0.153,46.0,-10.0,39.0,1745636142.274377,0.0
10800.0,-0.102,0.297,0.972,0.854,-0.122,-0.031,47.0,-8.0,38.0,1745636142.2743773,0.0
10817.0,-0.1,0.291,0.969,0.885,-0.458,0.092,47.0,-8.0,38.0,1745636142.3759427,0.0
10817.0,-0.102,0.289,0.964,0.885,-0.793,0.183,47.0,-8.0,38.0,1745636142.3759432,0.0
10834.0,-0.103,0.292,0.964,0.824,-0.092,-0.061,47.0,-9.0,38.0,1745636142.4777267,0.0
10834.0,-0.104,0.291,0.966,0.824,-0.488,0.061,47.0,-8.0,39.0,1745636142.4777272,0.0
10834.0,-0.101,0.295,0.969,0.885,-0.732,0.122,47.0,-8.0,38.0,1745636142.4777277,0.0
10851.0,-0.101,0.291,0.967,0.793,-0.183,0.0,48.0,-9.0,39.0,1745636142.5759673,0.0
10851.0,-0.102,0.291,0.967,0.824,-0.458,0.061,47.0,-8.0,39.0,1745636142.5759676,0.0
10865.0,-0.1,0.293,0.969,0.854,-0.549,0.092,47.0,-9.0,38.0,1745636142.6793804,0.0
10865.0,-0.101,0.292,0.961,0.854,-0.397,0.031,47.0,-10.0,39.0,1745636142.6793811,0.0
10865.0,-0.101,0.291,0.966,0.916,-0.549,0.031,48.0,-8.0,39.0,1745636142.6793816,0.0
10883.0,-0.102,0.291,0.967,0.854,-0.244,-0.031,48.0,-8.0,39.0,1745636142.7793112,0.0
10883.0,-0.101,0.292,0.964,0.854,-0.641,0.122,46.0,-9.0,38.0,1745636142.7793117,0.0
10899.0,-0.099,0.292,0.969,0.854,-0.458,0.092,48.0,-8.0,38.0,1745636142.8818903,0.0
10899.0,-0.098,0.29,0.968,0.793,-0.183,-0.031,47.0,-8.0,38.0,1745636142.8818905,0.0
10899.0,-0.1,0.294,0.966,0.854,-0.824,0.183,48.0,-10.0,39.0,1745636142.8818908,0.0
10916.0,-0.105,0.292,0.965,0.885,-0.275,0.031,47.0,-9.0,38.0,1745636142.9810972,0.0
10916.0,-0.101,0.29,0.965,0.885,-0.183,-0.031,49.0,-8.0,39.0,1745636142.9810977,0.0
10930.0,-0.1,0.291,0.962,0.885,-0.946,0.183,47.0,-9.0,38.0,1745636143.0834844,0.0
10930.0,-0.101,0.291,0.969,0.854,-0.275,-0.031,47.0,-8.0,39.0,1745636143.0834851,0.0
10930.0,-0.102,0.294,0.971,0.824,-0.275,0.0,48.0,-10.0,39.0,1745636143.0834858,0.0
10948.0,-0.1,0.292,0.973,0.885,-0.793,0.183,46.0,-9.0,38.0,1745636143.1904008,0.0
10948.0,-0.101,0.29,0.967,0.824,-0.244,-0.031,48.0,-8.0,39.0,1745636143.1904013,0.0
10948.0,-0.101,0.292,0.962,0.854,-0.458,0.061,47.0,-10.0,39.0,1745636143.1904016,0.0
10964.0,-0.1,0.291,0.966,0.854,-0.641,0.092,48.0,-8.0,39.0,1745636143.2868073,0.0
10964.0,-0.102,0.291,0.966,0.793,-0.275,0.0,47.0,-8.0,38.0,1745636143.2868085,0.0
10981.0,-0.1,0.293,0.972,0.854,-0.549,0.122,48.0,-8.0,38.0,1745636143.3909962,0.0
10981.0,-0.1,0.292,0.969,0.854,-0.397,0.061,48.0,-9.0,38.0,1745636143.3909965,0.0
10981.0,-0.101,0.294,0.969,0.824,-0.427,0.031,47.0,-9.0,37.0,1745636143.3909967,0.0
10997.0,-0.101,0.292,0.972,0.824,-0.549,0.092,47.0,-8.0,38.0,1745636143.4971962,0.0
10997.0,-0.1,0.292,0.97,0.854,-0.427,0.0,47.0,-8.0,37.0,1745636143.4971972,0.0
11013.0,-0.101,0.294,0.966,0.885,-0.427,0.061,47.0,-9.0,38.0,1745636143.5903769,0.0
11013.0,-0.1,0.293,0.968,0.854,-0.458,0.061,47.0,-9.0,38.0,1745636143.590377,0.0
11013.0,-0.099,0.29,0.967,0.885,-0.488,0.031,47.0,-9.0,38.0,1745636143.5903776,0.0
11029.0,-0.102,0.292,0.97,0.885,-0.366,0.031,47.0,-9.0,39.0,1745636143.6921587,0.0
11029.0,-0.101,0.295,0.97,0.824,-0.519,0.061,47.0,-9.0,38.0,1745636143.69216,0.0
11047.0,-0.102,0.294,0.97,0.885,-0.488,0.092,47.0,-7.0,38.0,1745636143.7935436,0.0
11047.0,-0.101,0.292,0.968,0.885,-0.244,0.061,48.0,-8.0,38.0,1745636143.793544,0.0
11047.0,-0.102,0.292,0.965,0.885,-0.641,0.092,47.0,-9.0,38.0,1745636143.7935443,0.0
11062.0,-0.102,0.293,0.969,0.824,-0.488,0.092,47.0,-8.0,38.0,1745636143.8983135,0.0
11062.0,-0.101,0.293,0.967,0.824,-0.336,0.031,48.0,-9.0,38.0,1745636143.898314,0.0
11078.0,-0.103,0.292,0.971,0.854,-0.519,0.061,47.0,-8.0,38.0,1745636143.995174,0.0
11078.0,-0.101,0.294,0.97,0.885,-0.519,0.031,48.0,-8.0,39.0,1745636143.9951744,0.0
11078.0,-0.1,0.29,0.965,0.885,-0.458,0.061,47.0,-8.0,39.0,1745636143.995175,0.0
11095.0,-0.101,0.292,0.963,0.854,-0.305,0.0,47.0,-9.0,38.0,1745636144.100698,0.0
11095.0,-0.1,0.292,0.966,0.885,-0.488,0.092,47.0,-8.0,39.0,1745636144.1006985,0.0
11095.0,-0.101,0.29,0.968,0.885,-0.519,0.061,47.0,-8.0,38.0,1745636144.1006987,0.0
11112.0,-0.099,0.298,0.975,0.854,-0.427,0.061,47.0,-10.0,39.0,1745636144.1959777,0.0
11112.0,-0.1,0.294,0.975,0.824,-0.336,0.061,48.0,-8.0,39.0,1745636144.195978,0.0
11128.0,-0.102,0.291,0.969,0.854,-0.58,0.092,48.0,-9.0,38.0,1745636144.3093836,0.0
11128.0,-0.103,0.291,0.961,0.854,-0.427,0.061,47.0,-10.0,39.0,1745636144.309384,0.0
11128.0,-0.1,0.293,0.958,0.824,-0.183,0.0,48.0,-9.0,39.0,1745636144.3093843,0.0
11143.0,-0.101,0.291,0.965,0.824,-0.641,0.122,47.0,-9.0,38.0,1745636144.3955872,0.0
11143.0,-0.1,0.294,0.976,0.885,-0.458,0.061,47.0,-9.0,38.0,1745636144.3955874,0.0
11162.0,-0.102,0.297,0.98,0.854,-0.275,0.0,48.0,-9.0,39.0,1745636144.5027473,0.0
11162.0,-0.1,0.295,0.976,0.854,-0.397,0.0,47.0,-10.0,39.0,1745636144.5027478,0.0
11162.0,-0.101,0.292,0.963,0.885,-0.763,0.122,49.0,-8.0,38.0,1745636144.502748,0.0
11179.0,-0.101,0.29,0.961,0.885,-0.336,0.0,48.0,-10.0,39.0,1745636144.6083455,0.0
11179.0,-0.103,0.291,0.962,0.854,-0.153,-0.031,47.0,-8.0,38.0,1745636144.6083457,0.0
11179.0,-0.1,0.294,0.969,0.885,-0.916,0.244,47.0,-10.0,37.0,1745636144.608346,0.0
11195.0,-0.1,0.297,0.979,0.854,-0.366,0.031,48.0,-7.0,38.0,1745636144.7063594,0.0
11195.0,-0.101,0.29,0.97,0.793,-0.092,-0.092,48.0,-10.0,37.0,1745636144.70636,0.0
11214.0,-0.099,0.294,0.97,0.916,-0.946,0.214,48.0,-9.0,38.0,1745636144.847601,0.0
11214.0,-0.101,0.292,0.968,0.824,-0.183,0.031,48.0,-10.0,39.0,1745636144.8476014,0.0
11214.0,-0.101,0.291,0.964,0.854,-0.305,0.031,47.0,-11.0,38.0,1745636144.8476017,0.0
11214.0,-0.101,0.293,0.976,0.885,-0.763,0.183,48.0,-9.0,38.0,1745636144.847602,0.0
11228.0,-0.101,0.292,0.974,0.824,-0.244,0.061,47.0,-8.0,37.0,1745636144.9443347,0.0
11228.0,-0.1,0.295,0.969,0.885,-0.275,0.061,47.0,-8.0,38.0,1745636144.9443352,0.0
11245.0,-0.101,0.292,0.968,0.885,-0.641,0.153,47.0,-10.0,39.0,1745636145.0467353,0.0
11245.0,-0.101,0.291,0.973,0.854,-0.366,0.0,47.0,-9.0,40.0,1745636145.0467355,0.0
11245.0,-0.101,0.293,0.967,0.854,-0.397,0.031,48.0,-8.0,38.0,1745636145.046736,0.0
11262.0,-0.099,0.293,0.973,0.916,-0.732,0.122,47.0,-9.0,37.0,1745636145.1491096,0.0
11262.0,-0.101,0.294,0.979,0.824,-0.183,0.0,47.0,-9.0,38.0,1745636145.14911,0.0
11279.0,-0.099,0.292,0.97,0.885,-0.488,0.061,48.0,-10.0,39.0,1745636145.2485023,0.0
11279.0,-0.1,0.292,0.97,0.916,-0.763,0.122,48.0,-9.0,38.0,1745636145.2485025,0.0
11279.0,-0.102,0.295,0.973,0.793,0.031,-0.122,48.0,-10.0,40.0,1745636145.248503,0.0
11293.0,-0.098,0.289,0.964,0.885,-0.549,0.122,47.0,-9.0,38.0,1745636145.3457127,0.0
11293.0,-0.099,0.293,0.973,0.916,-0.824,0.153,48.0,-8.0,39.0,1745636145.345713,0.0
11311.0,-0.1,0.297,0.975,0.763,-0.122,-0.061,47.0,-9.0,40.0,1745636145.4515548,0.0
11311.0,-0.102,0.291,0.969,0.885,-0.458,0.031,48.0,-8.0,38.0,1745636145.4515555,0.0
11311.0,-0.1,0.289,0.965,0.854,-0.488,0.061,47.0,-8.0,37.0,1745636145.451556,0.0
11327.0,-0.103,0.292,0.967,0.885,-0.61,0.092,47.0,-8.0,38.0,1745636145.553197,0.0
11327.0,-0.102,0.296,0.973,0.854,-0.092,-0.092,48.0,-9.0,38.0,1745636145.5531971,0.0
11327.0,-0.1,0.292,0.972,0.854,-0.397,0.031,48.0,-9.0,38.0,1745636145.5531976,0.0
11344.0,-0.098,0.296,0.981,0.854,-1.312,0.305,48.0,-8.0,39.0,1745636145.651926,0.0
11344.0,-0.1,0.293,0.975,0.916,-0.122,-0.031,47.0,-10.0,38.0,1745636145.6519265,0.0
11359.0,-0.1,0.293,0.97,0.793,0.214,-0.183,48.0,-8.0,38.0,1745636145.762238,0.0
11359.0,-0.1,0.298,0.978,0.824,-1.068,0.275,48.0,-9.0,38.0,1745636145.7622385,0.0
11359.0,-0.101,0.29,0.973,0.885,-0.58,0.122,48.0,-7.0,38.0,1745636145.7622387,0.0
11376.0,-0.102,0.291,0.968,0.854,0.122,-0.153,47.0,-9.0,38.0,1745636145.8557286,0.0
11376.0,-0.103,0.296,0.969,0.885,-0.885,0.153,48.0,-8.0,38.0,1745636145.855729,0.0
11392.0,-0.098,0.291,0.963,0.854,-0.702,0.092,48.0,-9.0,38.0,1745636145.9590876,0.0
11392.0,-0.103,0.292,0.967,0.854,-0.031,-0.092,48.0,-9.0,38.0,1745636145.959088,0.0
11392.0,-0.102,0.293,0.973,0.854,-0.519,0.092,48.0,-10.0,38.0,1745636145.9590883,0.0
